Item,Quantidade,Unid.,Tipo Cota,Descrição,Vl. Unitário,Vl. Total
453,3750,CP,Reservada,"BUTILBROMETO DE ESCOPOLAMINA 10 MG + DIPIRONA SÓDICA250 MG","R$1,10","R$4.125,00"
454,750,AMP,Reservada,"BUTILBROMETO DE ESCOPOLAMINA 20 MG + DIPIRONA SÓDICA2.500 MG INJETÁVEL - AMP. C/ 5 ML","R$4,27","R$3.202,50"
455,250,AMP,Reservada,"BUTILBROMETO DE ESCOPOLAMINA 20 MG/ML - SOL. INJETÁVELC/ 1 ML","R$2,71","R$677,50"
456,100,FRC,Reservada,"CARBAMAZEPINA 2%  SUSPENSÃO ORAL 20 MG/ML - FR C/ 100ML","R$13,60","R$1.360,00"
457,1250,COMP,Reservada,CARBAMAZEPINA 200MG,"R$0,23","R$287,50"
458,1250,COMP,Reservada,CARBAMAZEPINA 400MG,"R$0,77","R$962,50"
459,1500,COMP,Reservada,CARBONATO DE CALCIO 500MG,"R$0,78","R$1.170,00"
460,2250,COMP,Reservada,CARBONATO DE CÁLCIO 600 + VITAMINA D 400 UI,"R$1,24","R$2.790,00"
461,1500,COMP,Reservada,CARBONATO DE LÍTIO 300MG,"R$0,62","R$930,00"
462,62,FRC,Reservada,"CARBOXIMETILCELULOSE SÓDICA 0,5%  SOLUÇÃO OFTÁLMICA-FR C/ 10 ML","R$29,84","R$1.850,08"
463,75,FRC,Reservada,"CARMELOSE SÓDICA;GLICEROL;HIALUNORATO DESÓDIO;ERITRITOL;ÁCIDO BÓRICO;BORATO DE SÓDIODECAHIDRATADO;CITRATO DE SÓDIO DIIDRATADO;CLORETO DEPOTÁSSIO;CLORETO DE CÁLCIO DIIDRATADO;CLORETO DEMAGNÉSIO HEXAIDRATADO;PURITE SOLUÇÃO ESTÉRIL COM 15ML","R$26,19","R$1.964,25"
464,5000,CP,Reservada,"CARVEDILOL 12,5 MG","R$0,34","R$1.700,00"
465,1500,COMP,Reservada,CARVEDILOL 25 MG,"R$1,17","R$1.755,00"
466,2500,CP,Reservada,"CARVEDILOL 3,125MG","R$0,26","R$650,00"
467,6250,CP,Reservada,"CARVEDILOL 6,25 MG","R$0,29","R$1.812,50"
468,2500,CP,Reservada,CEFALEXINA 500 MG - CÁPSULA,"R$1,47","R$3.675,00"
469,750,AMP,Reservada,"CEFTRIAXONA 1 G INJETÁVEL INTRAMUSCULAR ACOMPANHADODE AMPOLA DE DILUENTE C/ 3,5 ML","R$18,02","R$13.515,00"
470,125,AMP,Reservada,"CEFTRIAXONA 1 G INJETÁVEL INTRAVENOSA COM DILUENTE DE10ML","R$20,61","R$2.576,25"
471,750,AMP,Reservada,"CEFTRIAXONA 500 MG INJETÁVEL INTRAMUSCULAR COMDILUENTE 3,5 ML","R$17,22","R$12.915,00"
472,125,TB,Reservada,"CETOCONAZOL 20 MG, BETAMETASONA 0,5 MG CREME  - TUBOCOM 30 G","R$12,27","R$1.533,75"
473,250,COMP,Reservada,CETOCONAZOL 200MG,"R$2,06","R$515,00"
474,125,TB,Reservada,"CETOCONAZOL 20MG, DIPROPIONATO DE BETAMETASONA0,64MG, SULFATO DE NEOMICINA 2,5 MG CREME - TUBO COM30G","R$13,74","R$1.717,50"
475,75,TB,Reservada,CETOCONAZOL CREME DERMATOLÓGICO 20 MG - TB C/ 30G,"R$6,61","R$495,75"
476,1250,COMP,Reservada,CETOPROFENO 100 MG,"R$1,23","R$1.537,50"
477,250,AMP,Reservada,CETOPROFENO 100MG INTRAVENOSO - AMP. COM 2ML,"R$7,10","R$1.775,00"
478,250,FRC,Reservada,CETOPROFENO 20 MG/ ML GOTAS C/ 20 ML,"R$8,35","R$2.087,50"
479,1750,COMP,Reservada,CETOPROFENO 50 MG,"R$0,79","R$1.382,50"
480,500,AMP,Reservada,CETOPROFENO 50 MG/ML INJETÁVEL - AMP. C/ 2ML,"R$3,59","R$1.795,00"
481,3000,COMP,Reservada,CILOSTAZOL 100MG,"R$0,90","R$2.700,00"
482,3000,COMP,Reservada,CILOSTAZOL 50MG,"R$0,37","R$1.110,00"
483,500,AMP,Reservada,CIMETIDINA 150MG/ML INJETÁVEL AMP. COM 2 ML,"R$1,66","R$830,00"
484,1250,COMP,Reservada,CIMETIDINA 200 MG,"R$0,64","R$800,00"
485,1250,COMP,Reservada,CINARIZINA 25MG,"R$0,20","R$250,00"
486,1250,COMP,Reservada,CINARIZINA 75MG,"R$0,34","R$425,00"
487,3000,CP,Reservada,CITALOPRAN 20MG,"R$1,09","R$3.270,00"
488,250,COMP,Reservada,CLARITROMICINA 500 MG - COMPRIMIDO REVESTIDO,"R$5,76","R$1.440,00"
489,750,CP,Reservada,CLINDAMICINA 300 MG,"R$2,48","R$1.860,00"
490,12500,COMP,Reservada,CLONAZEPAN 02MG,"R$0,17","R$2.125,00"
491,750,FRC,Reservada,"CLONAZEPAN 2,5 MG GOTAS - FR C/ 20 ML","R$4,78","R$3.585,00"
492,250,CP,Reservada,"CLONIDINA 0,100MG","R$0,22","R$55,00"
493,75,TB,Reservada,"CLORANFENICOL, DESOXIRRIBONUCLEASE, FIBRINOLISINAPOMADA COM 30 GRS","R$53,46","R$4.009,50"
494,125,AMP,Reservada,"CLORETO DE POTÁSSIO 19,1 % AMP. C/ 10 ML","R$0,39","R$48,75"
495,625,CP,Reservada,CLORETO DE POTÁSSIO 600MG,"R$0,66","R$412,50"
496,2500,AMP,Reservada,"CLORETO DE SODIO 0,9% - AMP. COM 10 ML","R$0,62","R$1.550,00"
497,1000,FRC,Reservada,"CLORETO DE SÓDIO 9MG/ML + CLORETO BENZALCÔNICO GOTASSOL. NASAL - FR C/ 30 ML","R$2,88","R$2.880,00"
498,625,FRC,Reservada,"CLORIDRATO DE AMBROXOL 15 MG/5ML XAROPE INFANTIL -FRASCO COM 120ML + COPO MEDIDOR","R$9,99","R$6.243,75"
499,625,FRC,Reservada,"CLORIDRATO DE AMBROXOL 6 MG/ML  XAROPE ADULTO -FRASCO COM 120ML +  COPO MEDIDOR","R$18,02","R$11.262,50"
500,3000,CP,Reservada,CLORIDRATO DE AMIODARONA 100 MG,"R$0,43","R$1.290,00"
501,12,AMP,Reservada,CLORIDRATO DE AMIODARONA 150 MG/ML - AMP. C/ 3 ML,"R$6,73","R$80,76"
502,6000,COMP,Reservada,CLORIDRATO DE AMIODARONA 200 MG,"R$0,71","R$4.260,00"
503,1000,CP,Reservada,CLORIDRATO DE CICLOBENZAPRINA 10 MG,"R$0,66","R$660,00"
504,1500,COMP,Reservada,CLORIDRATO DE CICLOBENZAPRINA 5MG,"R$0,28","R$420,00"
505,62,FRC,Reservada,"CLORIDRATO DE CIPROFLOXACINO 2 MG + HIDROCOSTISONA 10MG - FRASCO COM  5 ML SOLUÇÃO OTOLÓGICA ACOMPANHADODE CONTA GOTAS","R$31,54","R$1.955,48"
506,1250,COMP,Reservada,CLORIDRATO DE CIPROFLOXACINO 500MG,"R$1,08","R$1.350,00"
507,750,COMP,Reservada,CLORIDRATO DE CLOMIPRAMINA 25MG,"R$0,79","R$592,50"
508,250,COMP,Reservada,"CLORIDRATO DE CLONIDINA 0,150 MG","R$0,26","R$65,00"
509,250,COMP,Reservada,"CLORIDRATO DE CLONIDINA 0,200 MG","R$0,33","R$82,50"
510,50,AMP,Reservada,"CLORIDRATO DE CLORPROMAZINA 25 MG/ 5 ML SOL. INJETÁVEL- AMP. 5 ML","R$2,22","R$111,00"
511,500,CP,Reservada,CLORIDRATO DE DILTIAZEN 60MG,"R$0,44","R$220,00"
512,250,CP,Reservada,CLORIDRATO DE DILTIAZEN 90MG,"R$1,75","R$437,50"
513,12,AMP,Reservada,"CLORIDRATO DE DOBUTAMINA 12,5 MG","R$13,68","R$164,16"
514,500,COMP,Reservada,CLORIDRATO DE DOXICICLINA 100MG,"R$0,72","R$360,00"
515,2000,COMP,Reservada,"CLORIDRATO DE DULOXETINA 30 MG CAPSULA DURA LIB.RETARD","R$1,67","R$3.340,00"
516,1500,COMP,Reservada,"CLORIDRATO DE DULOXETINA COM 60 MG CAP DURA LIBRETARD","R$3,30","R$4.950,00"
517,500,COMP,Reservada,CLORIDRATO DE FENAZOPIRIDINA 100MG,"R$0,48","R$240,00"
518,2500,COMP,Reservada,CLORIDRATO DE FLUOXETINA 20MG,"R$0,70","R$1.750,00"
519,6250,CP,Reservada,CLORIDRATO DE HIDRALAZINA 25 MG,"R$0,32","R$2.000,00"
520,3750,COMP,Reservada,CLORIDRATO DE HIDRALAZINA 50MG,"R$0,42","R$1.575,00"
521,3250,COMP,Reservada,CLORIDRATO DE IMIPRAMINA 25MG,"R$0,48","R$1.560,00"
522,125,FRC,Reservada,"CLORIDRATO DE LEVOMEPROMAZINA 40 MG/ML SOLUÇÃO ORAL- FRC C/ 20 ML","R$11,05","R$1.381,25"
523,3750,COMP,Reservada,CLORIDRATO DE LEVOMEPROMAZINE 100 MG,"R$0,92","R$3.450,00"
524,2000,COMP,Reservada,CLORIDRATO DE LEVOMEPROMAZINE 25 MG,"R$0,49","R$980,00"
525,25,TB,Reservada,CLORIDRATO DE LIDOCAINA 2% GELÉIA COM 30 G,"R$5,76","R$144,00"
526,25,AMP,Reservada,"CLORIDRATO DE LIDOCAINA 2% INJETÁVEL SEM VASOCONSTRITOR FRASCO 20ML","R$12,83","R$320,75"
527,750,COMP,Reservada,CLORIDRATO DE MECLIZINA 25 MG,"R$0,60","R$450,00"
528,750,COMP,Reservada,CLORIDRATO DE MECLIZINA 50 MG,"R$2,19","R$1.642,50"
529,1250,COMP,Reservada,CLORIDRATO DE MEMANTINA 10 MG,"R$0,76","R$950,00"
530,250,AMP,Reservada,"CLORIDRATO DE METOCLOPRAMIDA 5MG/ML SOL. INJETAVEL -AMP. C/ 2ML","R$1,15","R$287,50"
531,2500,COMP,Reservada,CLORIDRATO DE NEBIVOLOL 5 MG,"R$1,36","R$3.400,00"
532,50,AMP,Reservada,CLORIDRATO DE ONDANSETRONA 4MG AMPOLA 2ML,"R$3,13","R$156,50"
533,500,COMP,Reservada,CLORIDRATO DE PIOGLITAZONA 30 MG,"R$2,36","R$1.180,00"
534,750,COMP,Reservada,CLORIDRATO DE PROPAFENONA 300MG,"R$1,24","R$930,00"
535,565,COMP,Reservada,CLORIDRATO DE SAXAGLIPTINA 5 MG,"R$3,59","R$2.028,35"
536,15000,CP,Reservada,CLORIDRATO DE SERTRALINA 50 MG,"R$0,69","R$10.350,00"
537,250,CP,Reservada,CLORIDRATO DE SOTALOL 120MG,"R$0,87","R$217,50"
538,250,COMP,Reservada,CLORIDRATO DE SOTALOL 160MG,"R$1,31","R$327,50"
539,2500,COMP,Reservada,CLORIDRATO DE TRAMADOL 100MG,"R$5,34","R$13.350,00"
540,250,AMP,Reservada,CLORIDRATO DE TRAMADOL 100MG INJ. - AMP. C/ 2 ML,"R$7,86","R$1.965,00"
541,1750,CP,Reservada,CLORIDRATO DE TRAMADOL 50MG,"R$0,77","R$1.347,50"
542,500,COMP,Reservada,CLORIDRATO DE VENLAFAXINA 150MG,"R$2,13","R$1.065,00"
543,750,COMP,Reservada,CLORIDRATO DE VENLAFAXINA 75MG,"R$1,16","R$870,00"
544,1400,COMP,Reservada,CLORIDRATO DE VILDAGLIPTINA 50 MG,"R$3,47","R$4.858,00"
545,1500,CP,Reservada,"CLORTALIDONA 12,5 MG","R$0,22","R$330,00"
546,1500,CP,Reservada,CLORTALIDONA 25MG,"R$0,38","R$570,00"
547,1000,COMP,Reservada,CLORTALIDONA 50MG,"R$0,38","R$380,00"
548,500,AMP,Reservada,COMPLEXO B INJETÁVEL - AMPOLA COM 2 ML,"R$4,70","R$2.350,00"
549,250,COMP,Reservada,COMPLEXO DE HIDÓXIDO DE FERRO III 100 MG,"R$4,91","R$1.227,50"
550,9000,CP,Reservada,CUMARINA 15 MG + TROXERRUTINA 90 MG,"R$1,80","R$16.200,00"
551,62,TB,Reservada,"CUMARINA 5 MG/ML, HEPARINA SÓDICA 50 UI/ML CREME COM240 ML","R$41,80","R$2.591,60"
552,625,COMP,Reservada,DAPAGLIFLOZINA 10 MG,"R$4,91","R$3.068,75"
553,375,COMP,Reservada,"DAPAGLIFLOZINA 5 MG,CLORIDRATO DE METFORMINA 1000 MG","R$3,71","R$1.391,25"
554,125,FRC,Reservada,"DELTAMETRINA  0,2 MG/ML SHAMPOO  - FRC C/ 100 ML","R$15,33","R$1.916,25"
555,1250,COMP,Reservada,"DEPAKOTE SPRINKLE - DIVALPROATO DE SÓDIO 125MG (ÉNECESSÁRIO O MEDICAMENTO ÉTICO)","R$1,01","R$1.262,50"
556,100,FRC,Reservada,"DESLORATADINA 0,5 MG COM 60 ML","R$19,34","R$1.934,00"
557,1000,AMP,Reservada,"DEXAMETASONA 4 MG INJETÁVEL AMP. COM 2,5 ML","R$4,73","R$4.730,00"
558,500,COMP,Reservada,DEXAMETASONA 4MG,"R$0,29","R$145,00"
559,300,FRC,Reservada,"DEXAMETASONA ELIXIR 0,5 MG/ 5 ML SOL ORAL-FRC C/120 ML","R$7,18","R$2.154,00"
560,12,FRC,Reservada,"DEXAMETASONA MICRONIZADA BIFÁSICA 0,001 G,SULFATO DENEOMICINA 0,005 G,SULFATO DE POLIMIXINA B 6000UI,HIPROMELOSE 0,005 G,COLÍRIO COM 5 ML","R$18,06","R$216,72"
561,62,FRC,Reservada,"DEXTRANA 70 0,1%, HIPROMELOSE 0,3% SOLUÇÃO OFTÁLMICALUBRIFICANTE ESTÉRIL - FRC C/ 15 ML","R$20,59","R$1.276,58"
562,3750,COMP,Reservada,DIACEREÍNA 50MG,"R$4,99","R$18.712,50"
563,125,AMP,Reservada,DIAZEPAN 10 MG INJETÁVEL - AMP. C/ 2 ML,"R$1,59","R$198,75"
564,500,TB,Reservada,"DICLOFENACO DIETILAMÔNIO 11,6 MG/G GEL CREME 60 G","R$6,34","R$3.170,00"
565,3500,CP,Reservada,DICLOFENACO POTÁSSICO 50 MG,"R$0,46","R$1.610,00"
566,3500,COMP,Reservada,DICLOFENACO SÓDICO 50MG,"R$0,36","R$1.260,00"
567,500,AMP,Reservada,DICLOFENACO SÓDICO 75 MG INJETAVEL - AMP. C/ 3 ML,"R$3,05","R$1.525,00"
568,1250,CP,Reservada,DICLORIDRATO DE FLUNARIZINA 10 MG,"R$0,30","R$375,00"
569,300,CP,Reservada,DICLORIDRATO DETRIMETAZIDINA 35 MG,"R$1,86","R$558,00"
570,250,AMP,Reservada,"DIMENIDRATO 30 MG + CLORIDRATO DE PIRIDOXINA 50 MG +GLICOSE 1.000 MG + FRUTOSE 1.000 MG/ 10 ML","R$2,59","R$647,50"
571,500,CP,Reservada,DIMENIDRATO 50 MG + PIRIDOXINA 10 MG,"R$0,57","R$285,00"
572,750,AMP,Reservada,"DIMENIDRATO 50 MG/ML + CLORIDRATO DE PIRIDOXINA 50MG/ML AMP. C/ 1 ML","R$2,12","R$1.590,00"
573,6,FRC,Reservada,DIMETILPOLISILOXANE OPHTALMUS (COLÍRIO),"R$52,37","R$314,22"
574,12500,COMP,Reservada,DIOSMINA 450 MG + HESPERIDINA 50 MG,"R$0,88","R$11.000,00"
575,250,FRC,Reservada,DIPIRONA 500 MG/ML GOTAS  - FR C/ 10 ML,"R$3,33","R$832,50"
576,1000,AMP,Reservada,DIPIRONA 500 MG/ML INJETÁVEL AMP. COM 2 ML,"R$2,22","R$2.220,00"
577,2500,COMP,Reservada,DIPIRONA SÓDICA 500 MG,"R$0,40","R$1.000,00"
578,75,FLAC,Reservada,"DIPROPIONATO DE BECLOMETASONA 400 MCG/1 ML - AMPOLAC/ 2 ML","R$5,56","R$417,00"
579,62,TB,Reservada,"DIPROPIONATO DE BETAMETASONA 0,64 + SULFATO DEGENTAMICINA 1 G - TB C/ 30 GR POMADA","R$12,35","R$765,70"
580,250,AMP,Reservada,"DIPROPIONATO DE BETAMETASONA 5 MG + FOSFATO DISSÓDICODE BETAMETASONA 2 MG - AMP. C/ 1 ML","R$8,83","R$2.207,50"
581,500,COMP,Reservada,DIVALPROATO DE SÓDIO 250MG,"R$0,54","R$270,00"
582,1125,COMP,Reservada,DIVALPROATO DE SÓDIO ER 500MG,"R$1,19","R$1.338,75"
583,300,COMP,Reservada,DOBESILATO DE CÁLCIO 500MG,"R$2,03","R$609,00"
584,6250,CP,Reservada,DOMPERIDONA 10 MG,"R$0,21","R$1.312,50"
585,75,FRC,Reservada,DOMPERIDONA SUSPENÇÃO 1MG/ML FR C/ 100 ML,"R$12,77","R$957,75"
586,300,COMP,Reservada,EMPAGLIFLOZINA 25 MG,"R$6,53","R$1.959,00"
587,250,AMP,Reservada,"ENANTATO DE NORETISTERONA 50 MG/ML + VALERATO DEESTRADIOL 5 MG/ML INJETÁVEL","R$24,59","R$6.147,50"
588,750,CP,Reservada,ESOMEPRAZOL 20 MG,"R$1,75","R$1.312,50"
589,750,COMP,Reservada,ESOMEPRAZOL 40 MG,"R$2,90","R$2.175,00"
590,625,COMP,Reservada,ESPIRONOLACTONA 100MG,"R$0,54","R$337,50"
591,2500,COMP,Reservada,ESPIRONOLACTONA 25MG,"R$0,25","R$625,00"
592,1750,COMP,Reservada,ESPIRONOLACTONA 50MG,"R$0,48","R$840,00"
593,1250,COMP,Reservada,"EXTRATO SECO DE MELILOTUS OFFICINALIS LAM.26,7 MG","R$1,98","R$2.475,00"
594,125,AMP,Reservada,FENITOÍNA 50 MG/ML INJETAVEL - AMP. C/ 5 ML,"R$4,49","R$561,25"
595,125,AMP,Reservada,FENOBARBITAL 200 MG INJETAVEL - AMP. C/ 1 ML,"R$2,36","R$295,00"
596,100,AMP,Reservada,"FERRIPOLIMALTOSE 100 MG/2ML - INJETÁVEL INTRAMUSCULARAMPOLA COM 2ML","R$14,36","R$1.436,00"
597,2000,COMP,Reservada,FINASTERIDA 5MG,"R$1,59","R$3.180,00"
598,50,AMP,Reservada,FITOMENADIONA 10 MG/ML,"R$2,50","R$125,00"
599,625,COMP,Reservada,FLUCONAZOL 150MG,"R$2,66","R$1.662,50"
600,1250,COMP,Reservada,FLUVOXAMINA MALEATO 100 MG,"R$4,91","R$6.137,50"
601,1250,COMP,Reservada,"FLUVOXAMINA, MALEATO 50 MG","R$2,73","R$3.412,50"
602,7500,CP,Reservada,FOSFATO DE CODEÍNA 30MG + PARACETAMOL 500 MG,"R$1,15","R$8.625,00"
603,300,COMP,Reservada,"FOSFATO DE SITAGLIPTINA + CLORIDRATO DE METMORFINA50/850MG","R$3,46","R$1.038,00"
604,750,COMP,Reservada,FOSFATO DE SITAGLIPTINA 25MG,"R$1,81","R$1.357,50"
605,750,COMP,Reservada,FOSFATO DE SITAGLIPTINA 50MG,"R$3,63","R$2.722,50"
606,600,COMP,Reservada,"FOSFATO DE SITAGLIPTINA 50MG + CLORIDRATO DEMETFORMINA 1000MG","R$3,45","R$2.070,00"
607,500,COMP,Reservada,"FOSFATO DISSÓDICO CITIDINA 2,5MG + TRIFOSFATO TRISSÓDICODE URIDINA 1,5MG+ ACET. HIDROXICOBALAMINA 1MG","R$1,92","R$960,00"
608,12,FRC,Reservada,"FOSFATO DISSÓDICO DE DEXAMETASONA 1,5MG + SULFATO DENEOMICINA 3,5MG - FRASCO DE 5ML","R$13,40","R$160,80"
609,500,AMP,Reservada,"FOSFATO DISSÓDICO DE DEXAMETASONA 4 MG +CIANOCOBALAMINA 5000 MCG AMP 1 ML + CLORIDRATO DETIAMINA 100 MG + CLORIDRATO DE PIRIDOXINA 100 MG AMP 1ML  - CX C/ 3 AMP I+ 3 AMP II","R$13,94","R$6.970,00"
610,250,FRC,Reservada,"FOSFATO SÓDICO DE PREDNISOLONA 3 MG/ML -  XAROPE 100ML","R$18,72","R$4.680,00"
611,3750,COMP,Reservada,"FUMARATO DE BISOPROLOL 2,5 MG","R$1,01","R$3.787,50"
612,7500,COMP,Reservada,FUMARATO DE BISOPROLOL 5 MG,"R$1,00","R$7.500,00"
613,75,FRC,Reservada,"FUMARATO DE FLUTICASONA 27,5MCG SPRAY NASAL -CONTENDO 120 DOSES","R$44,18","R$3.313,50"
614,12,CX,Reservada,"FUMARATO DE FORMOTEROL DI-HIDRATADO 12 MCG,BUDESONIDA 400 MCG COM 60 CÁPSULAS E COM INALADOR","R$1,98","R$23,76"
615,62,TB,Reservada,FUROATO DE MOMETASONA 1 MG CREME COM 20 GRAMAS,"R$17,32","R$1.073,84"
616,750,AMP,Reservada,FUROSEMIDA 10 MG/ML COM 2 ML,"R$2,45","R$1.837,50"
617,750,COMP,Reservada,GABAPENTINA 300 MG,"R$1,00","R$750,00"
618,125,COMP,Reservada,GABAPENTINA 400 MG,"R$1,19","R$148,75"
619,3750,CP,Reservada,GLICAZIDA MR 30 MG,"R$0,69","R$2.587,50"
620,2000,COMP,Reservada,GLICAZIDA MR 60 MG,"R$0,89","R$1.780,00"
621,12,AMP,Reservada,GLICONATO DE CÁLCIO 10% - AMPOLA COM 10ML,"R$5,49","R$65,88"
622,500,AMP,Reservada,GLICOSE 25% INJETÁVEL - C/ 10 ML,"R$0,60","R$300,00"
623,3000,CP,Reservada,GLIMEPIRIDA 2 MG,"R$0,43","R$1.290,00"
624,1250,CP,Reservada,HALOPERIDOL 01MG,"R$0,18","R$225,00"
625,12,AMP,Reservada,HALOPERIDOL 5MG/ML INJETAVEL,"R$8,19","R$98,28"
626,12,AMP,Reservada,HEMITARTARATO DE EPINEFRINA 1 MG/ML COM 1 ML,"R$2,40","R$28,80"
627,2000,COMP,Reservada,HEMITARTARATO DE ZOLPIDEM 10MG,"R$0,85","R$1.700,00"
628,125,AMP,Reservada,HIDROCORTISONA 100 MG - AMPOLA INJETÁVEL - DIL COM 2 ML,"R$3,80","R$475,00"
629,250,AMP,Reservada,HIDROCORTISONA 500 MG - AMPOLA INJETÁVEL - DIL C/ 4 ML,"R$11,60","R$2.900,00"
630,75,FRC,Reservada,"HIDROXIDO DE ALUMINIO 6,2% SUSPENSÃO ORAL - FRASCO COM150ML","R$11,00","R$825,00"
631,5,FRC,Reservada,"HIDROXIPROPIL GUAR 8A,POLIETILENOGLICOL 400,ÁCIDOBÓRICO PROPILENOGLICOL,SORBITOL CLORETO DESÓDIO,CLORETO DE POTÁSSIO,POLIQUATERNIUM-1,AMINOMETILPROPANOL HIDRÓXIDO DE SÓDIO E /OU ACIDOCLORÍDICO E ÁGUA PURIFICADA-FRASCO PLÁSTICO CONTAGOTAS 10 ML","R$44,59","R$222,95"
632,1500,FRC,Reservada,IBUPROFENO 100 MG GOTAS 20ML,"R$9,35","R$14.025,00"
633,3750,CP,Reservada,IBUPROFENO 600MG,"R$0,84","R$3.150,00"
634,750,CP,Reservada,"INDAPAMIDA 1,5MG","R$0,54","R$405,00"
635,12,FRC,Reservada,INSULINA ASPARTE 100U/ML FRASCO COM 10 ML,"R$101,63","R$1.219,56"
636,12,FRC,Reservada,"INSULINA DEGLUDECA 100 UI/ML + LIRAGLUTIDA 3,6MG/ML -COM 3MG","R$185,96","R$2.231,52"
637,25,FRC,Reservada,INSULINA DEGLUDECA 100 UI/ML COM 3 ML+1 APLICADOR,"R$130,61","R$3.265,25"
638,25,FRC,Reservada,INSULINA DEGLUDECA 100UI/ML CANETA 3 ML,"R$116,47","R$2.911,75"
639,25,FRC,Reservada,INSULINA DETEMIR 100U/ML FRASCO COM 3ML,"R$79,62","R$1.990,50"
640,12,FRC,Reservada,INSULINA GLARGINA 100 U/ ML FRASCO COM 10 ML,"R$255,33","R$3.063,96"
641,25,FRC,Reservada,"INSULINA LISPRO SOLUÇÃO INJETÁVEL 100 UI/ML FRASCO COM10 ML","R$110,74","R$2.768,50"
642,250,CP,Reservada,IVERMECTINA 6 MG,"R$2,63","R$657,50"
643,1000,COMP,Reservada,LACTASE 9.000FCC,"R$1,59","R$1.590,00"
644,125,FRC,Reservada,LACTULOSE 667 MG/ML - FRASCO COM 120 ML,"R$19,29","R$2.411,25"
645,1500,COMP,Reservada,LAMOTRIGINA 100 MG,"R$1,08","R$1.620,00"
646,2500,COMP,Reservada,LAMOTRIGINA 25 MG,"R$0,42","R$1.050,00"
647,2500,CP,Reservada,LAMOTRIGINA 50 MG,"R$0,47","R$1.175,00"
648,1500,COMP,Reservada,LANSOPRAZOL 30 MG,"R$1,99","R$2.985,00"
649,1250,COMP,Reservada,LEVETIRACETAM 250 MG,"R$1,56","R$1.950,00"
650,1250,COMP,Reservada,LEVETIRACETAM 750MG - KEPPRA,"R$10,68","R$13.350,00"
651,2000,COMP,Reservada,LEVODOPA 200 MG + CLORIDRATO DE BENSERAZIDA 50 MG,"R$2,66","R$5.320,00"
652,1000,COMP,Reservada,LEVOFLOXACINO 500 MG,"R$5,79","R$5.790,00"
653,3000,CP,Reservada,LEVOTIROXINA SÓDICA 100 MCG,"R$0,27","R$810,00"
654,3000,COMP,Reservada,LEVOTIROXINA SÓDICA 25 MCG,"R$0,28","R$840,00"
655,3500,COMP,Reservada,LEVOTIROXINA SÓDICA 50 MCG,"R$0,21","R$735,00"
656,3500,COMP,Reservada,LEVOTIROXINA SÓDICA 75 MCG,"R$0,23","R$805,00"
657,12,FRC,Reservada,"LIDOCAINA, SULFATO DE NEOMICINA, HIALURONIDASE - FRC/ 8ML + 1 AMPOLA - OTOLÓGICO","R$18,63","R$223,56"
658,300,COMP,Reservada,LINAGLIPTINA 5 MG,"R$4,29","R$1.287,00"
659,600,COMP,Reservada,LOXOPROFENO SÓDICO 60 MG,"R$1,52","R$912,00"
660,125,FRC,Reservada,"MALEATO DE DEXCLORFENIRAMINA 2 MG, BETAMETASONA0,5ML  XAROPE FRASCO COM 120 ML","R$14,24","R$1.780,00"
661,250,FRC,Reservada,"MALEATO DE DEXCLORFENIRAMINA XAROPE 2MG/5ML - FRC C/100 ML","R$4,67","R$1.167,50"
662,125,COMP,Reservada,MELOXICAM 15 MG,"R$1,75","R$218,75"
663,2500,CP,Reservada,MESILATO DE DOXAZOSINA 2 MG,"R$0,86","R$2.150,00"
664,1500,CP,Reservada,MESILATO DE DOXAZOSINA 4MG,"R$1,14","R$1.710,00"
665,250,CP,Reservada,"MESILATO DE DÜDROERGOCRISTINA 3 MG + DICLORIDRATO DEFLUNARIZINA 10 MG","R$8,72","R$2.180,00"
666,12,AMP,Reservada,MIDAZOLAN 15 MG COM 3 ML,"R$3,97","R$47,64"
667,300,COMP,Reservada,MIRTAZAPINA 30 MG,"R$1,89","R$567,00"
668,2500,COMP,Reservada,MONIDRATO DE ISOSSORBIDA 20 MG,"R$0,23","R$575,00"
669,500,COMP,Reservada,MONIDRATO DE ISOSSORBIDA 5 MG  SUB LINGUAL,"R$0,40","R$200,00"
670,250,CP,Reservada,MONTELUCASTE DE SÓDIO 10 MG,"R$1,58","R$395,00"
671,250,COMP,Reservada,MONTELUCASTE DE SÓDIO 5 MG,"R$1,33","R$332,50"
672,250,COMP,Reservada,MONTELUCASTE SODICO 4 MG,"R$1,46","R$365,00"
673,500,SACHE,Reservada,MONTELUCASTE SÓDICO 4 MG SACHE,"R$2,02","R$1.010,00"
674,2500,COMP,Reservada,NIFEDIPINO 20MG,"R$0,27","R$675,00"
675,375,COMP,Reservada,NIFEDIPINO RETARD 20MG,"R$0,48","R$180,00"
676,3750,COMP,Reservada,NIMESULIDA 100MG,"R$0,21","R$787,50"
677,250,FRC,Reservada,NIMESULIDA 50 MG/ML -  GOTAS COM 15 ML,"R$10,70","R$2.675,00"
678,750,COMP,Reservada,NIMODIPINA 30MG,"R$1,00","R$750,00"
679,1500,TB,Reservada,"NISTATINA 100.000 UI/G+ÓXIDO DE ZINCO 20 MG/G POMADA60G","R$18,52","R$27.780,00"
680,250,TB,Reservada,"NISTATINA 25.000 UI/G CREME VAGINAL - TB C/ 60 G + 10APLICADORES","R$12,02","R$3.005,00"
